Code,Description,Active
"3366",Copper Foundries,true
"3369",Nonferrous Foundries,true
"3398",Metal Heat Treating,true
"3399",Primary Metal Products,true
"3411",Metal Cans,true
"3412","Metal Barrels, Drums, And Pails",true
"3421",Cutlery,true
"3423",Hand And Edge Tools,true
"3425",Saw Blades And Handsaws,true
"3429","Hardware, Not Elsewhere Classified",true
"3431",Metal Sanitary Ware,true
"3432",Plumbing Fixture Fittings And Trim,true
"3433","Heating Equipment, Except Electric",true
"3441",Fabricated Structural Metal,true
"3442","Metal Doors, Sash, And Trim",true
"3443",Fabricated Plate Work (Boiler Shops),true
"3444",Sheet Metal Work,true
"3446",Architectural Metal Work,true
"3448",Prefabricated Metal Buildings,true
"3449",Miscellaneous Metal Work,true
"3451",Screw Machine Products,true
"3452","Bolts, Nuts, Rivets, And Washers",true
"3462",Iron And Steel Forgings,true
"3463",Nonferrous Forgings,true
"3465",Automotive Stampings,true
"3466",Crowns And Closures,true
"3469",Metal Stampings,true
"3470",Legacy Docket Conv,false
"3471",Plating And Polishing,true
"3479",Metal Coating And Allied Services,true
"3482",Small Arms Ammunition,true
"3483","Ammunition, Except For Small Arms",true
"3484",Small Arms,true
"3489",Ordnance And Accessories,true
"3491",Industrial Valves,true
"3492",Fluid Power Valves & Hose Fittings,true
"3493","Steel Springs, Except Wire",true
"3494",Valves And Pipe Fittings,true
"3495",Wire Springs,true
"3496",Miscellaneous Fabricated Wire Products,true
"3497",Metal Foil And Leaf,true
"3498",Fabricated Pipe And Fittings,true
"3499",Fabricated Metal Products,true
"3511",Turbines And Turbine Generator Sets,true
"3519",Internal Combustion Engines,true
"3523",Farm Machinery And Equipment,true
"3524",Lawn And Garden Equipment,true
"3531",Construction Machinery,true
"3532",Mining Machinery,true
"3533",Oil And Gas Field Machinery,true
"3534",Elevators And Moving Stairways,true
"3535",Conveyors And Conveying Equipment,true
"3536","Hoists, Cranes, And Monorails",true
"3537",Industrial Trucks And Tractors,true
"3541","Machine Tools, Metal Cutting Types",true
"3542","Machine Tools, Metal Forming Types",true
"3543",Industrial Patterns,true
"3544","Special Dies, Tools, Jigs & Fixtures",true
"3545",Machine Tool Accessories,true
"3546",Power-Driven Handtools,true
"3547",Rolling Mill Machinery,true
"3548",Welding Apparatus,true
"3549",Metalworking Machinery,true
"3550",Legacy Docket Conv,false
"3551",Legacy Docket Conv,false
"3552",Textile Machinery,true
"3553",Woodworking Machinery,true
"3554",Paper Industries Machinery,true
"3555",Printing Trades Machinery,true
"3556",Food Products Machinery,true
"3559",Special Industry Machinery,true
"3560",Legacy Docket Conv,false
"3561",Pumps And Pumping Equipment,true
"3562",Ball And Roller Bearings,true
"3563",Air And Gas Compressors,true
"3564",Blowers And Fans,true
"3565",Packaging Machinery,true
"3566","Speed Changers, Drives, And Gears",true
"3567",Industrial Furnaces And Ovens,true
"3568",Power Transmission Equipment,true
"3569",General Industrial Machinery,true
"3571",Electronic Computers,true
"3572",Computer Storage Devices,true
"3573",Legacy Docket Conv,false
"3575",Computer Terminals,true
"3577",Computer Peripheral Equipment,true
"3578",Calculating And Accounting Equipment,true
"3579",Office Machines,true
"3581",Automatic Vending Machines,true
"3582",Commercial Laundry Equipment,true
"3585",Refrigeration And Heating Equipment,true
"3586",Measuring And Dispensing Pumps,true
"3589",Service Industry Machinery,true
"3592","Carburetors, Pistons, Rings, Valves",true
"3593",Fluid Power Cylinders & Actuators,true
"3594",Fluid Power Pumps And Motors,true
"3596","Scales And Balances, Except Laboratory",true
"3599",Industrial Machinery,true
"3610",Legacy Docket Conv,false
"3612","Transformers, Except Electronic",true
"3613",Switchgear And Switchboard Apparatus,true
"3621",Motors And Generators,true
"3622",Legacy Docket Conv,false
"3623",Legacy Docket Conv,false
"3624",Carbon And Graphite Products,true
"3625",Relays And Industrial Controls,true
"3629",Electrical Industrial Apparatus,true
"3630",Legacy Docket Conv,false
"3631",Household Cooking Equipment,true
"3632",Household Refrigerators And Freezers,true
"3633",Household Laundry Equipment,true
"3634",Electric Housewares And Fans,true
"3635",Household Vacuum Cleaners,true
"3636",Legacy Docket Conv,false
"3639",Household Appliances,true
"3641",Electric Lamps,true
"3643",Current-Carrying Wiring Devices,true
"3644",Noncurrent-Carrying Wiring Devices,true
"3645",Residential Lighting Fixtures,true
"3646",Commercial Lighting Fixtures,true
"3647",Vehicular Lighting Equipment,true
"3648",Lighting Equipment,true
"3651",Household Audio And Video Equipment,true
"3652",Prerecorded Records And Tapes,true
"3661",Telephone And Telegraph Apparatus,true
"3662",Radio/TV Communication Equipmn(1977),false
"3663",Radio & TV Communications Equipment,true
"3669",Communications Equipment,true
"3670",Legacy Docket Conv,false
"3671",Electron Tubes,true
"3672",Printed Circuit Boards,true
"3674",Semiconductors And Related Devices,true
"3675",Electronic Capacitors,true
"3676",Electronic Resistors,true
"3677",Electronic Coils And Transformers,true
"3678",Electronic Connectors,true
"3679",Electronic Components,true
"3691",Storage Batteries,true
"3692","Primary Batteries, Dry And Wet",true
"3694",Engine Electrical Equipment,true
"3695",Magnetic And Optical Recording Media,true
"3699",Electrical Equipment & Supplies,true
"3710",Legacy Docket Conv,false
"3711",Motor Vehicles And Car Bodies,true
"3713",Truck And Bus Bodies,true
"3714",Motor Vehicle Parts And Accessories,true
"3715",Truck Trailers,true
"3716",Motor Homes,true
"3721",Aircraft,true
"3724",Aircraft Engines And Engine Parts,true
"3728",Aircraft Parts And Equipment,true
"3731",Ship Building And Repairing,true
"3732",Boat Building And Repairing,true
"3743",Railroad Equipment,true
"3751","Motorcycles, Bicycles, And Parts",true
"3761",Guided Missiles And Space Vehicles,true
"3764",Space Propulsion Units And Parts,true
"3769",Space Vehicle Equipment,true
"3792",Travel Trailers And Campers,true
"3795",Tanks And Tank Components,true
"3799",Transportation Equipment,true
"3811",Engineering & Scientific Instruments(1977),false
"3812",Search And Navigation Equipment,true
"3821",Laboratory Apparatus And Furniture,true
"3822",Environmental Controls,true
"3823",Process Control Instruments,true
"3824",Fluid Meters And Counting Devices,true
"3825",Instruments To Measure Electricity,true
"3826",Analytical Instruments,true
"3827",Optical Instruments And Lenses,true
"3829",Measuring & Controlling Devices,true
"3832",Optical Instruments And Lenses(1977),false
"3841",Surgical And Medical Instruments,true
"3842",Surgical Appliances And Supplies,true
"3843",Dental Equipment And Supplies,true
"3844",X-Ray Apparatus And Tubes,true
"3845",Electromedical Equipment,true
"3851",Ophthalmic Goods - Manufacturing,true
"3861",Photographic Equipment And Supplies,true
"3873","Watches, Clocks, Watchcases & Parts",true
"3911","Jewelry, Precious Metal",true
"3914",Silverware And Plated Ware,true
"3915",Jewelers' Materials & Lapidary Work,true
